Column1,original,                              correct
,dayandirmisdir ,dayandırmışdır 
,davamcilarinin ,davamçılarının 
,danisiqlarinda ,danışıqlarında 
,coqrafiyasunas ,coğrafiyaşünas 
,buraxmayacaqam ,buraxmayacağam 
,bir-birilerine ,bir-birilərinə 
,baci-qardaslar ,bacı-qardaşlar 
,avadanliqlarla ,avadanlıqlarla 
,astronomiyanin ,astronomiyanın 
,arasdirmalarda ,araşdırmalarda 
,amerikalilarin ,amerikalıların 
,Xezer-Lenkeran ,Xəzər-Lənkəran 
,Navuxodonosora ,Navuxodonosora 
,Mesopotamiyada ,Mesopotamiyada 
,Komissiyasinda ,Komissiyasında 
,Filistlilerden ,Filiştlilərdən 
,Beni-umeyyenin ,Bəni-Üməyyənin 
,Bosbuynuzlular ,Boşbuynuzlular 
,Azerbaycaninda ,Azərbaycanında 
,eyaletlerinden ,əyalətlərindən 
,evvellerinedek ,əvvəllərinədək 
,emin-amanliqda ,əmin-amanlıqda 
,ebedilesdirmek ,əbədiləşdirmək 
,umumrespublika ,ümumrespublika 
,oyrenilmesinin ,öyrənilməsinin 
,cixarilmasidir ,çıxarılmasıdır 
,catismazliqlar ,çatışmazlıqlar 
,zenginlesdiren ,zənginləşdirən 
,zeiflemesinden ,zəifləməsindən 
,zehmetkeslerin ,zəhmətkeşlərin 
,ziddiyyetlerin ,ziddiyyətlərin 
,zadeganlarinin ,zadəganlarının 
,yoneldilmisdir ,yönəldilmişdir 
,yeniyetmelerde ,yeniyetmələrdə 
,yenidamaqlilar ,yenidamaqlılar 
,yaxinlarindaki ,yaxınlarındakı 
,yaradilmasidir ,yaradılmasıdır 
,xesteliklerini ,xəstəliklərini 
,xristianliqdan ,xristianlıqdan 
,xidmetcilerini ,xidmətçilərini 
,variantlarinda ,variantlarında 
,valideynlerini ,valideynlərini 
,uzunluqundadir ,uzunluğundadır 
,uzaqlasdirilir ,uzaqlaşdırılır 
,uyqunlasdirmaq ,uyğunlaşdırmaq 
,teskilatlardan ,təşkilatlardan 
,teqdimlerinizi ,təqdimlərinizi 
,transformasiya ,transformasiya 
,teleserialinda ,teleserialında 
,secdegahlarini ,səcdəgahlarını 
,soylenilmisdir ,söylənilmişdir 
,soylediklerini ,söylədiklərini 
,suverenliyimiz ,suverənliyimiz 
,stimullasdirir ,stimullaşdırır 
,sivilizasiyasi ,sivilizasiyası 
,saxlanildiqdan ,saxlanıldıqdan 
,qehremanlarini ,qəhrəmanlarını 
,qurtaracaqinda ,qurtaracağında 
,qrammatikasini ,qrammatikasını 
,qiymetlendirme ,qiymətləndirmə 
,qiymetlendirdi ,qiymətləndirdi 
,qeyri-standart ,qeyri-standart 
,qaytarilmisdir ,qaytarılmışdır 
,qardaslarindan ,qardaşlarından 
,platformasinda ,platformasında 
,planlasdirilan ,planlaşdırılan 
,partiyalarinin ,partiyalarının 
,numayendelerin ,nümayəndələrin 
,meshurlasmisdi ,məşhurlaşmışdı 
,meshurlarindan ,məşhurlarından 
,meskunlasmisdi ,məskunlaşmışdı 
,meqsedlerinden ,məqsədlərindən 
,memulatlarinda ,məmulatlarında 
,mektublarindan ,məktublarından 
,muessiselerini ,müəssisələrini 
,muveffeqiyyete ,müvəffəqiyyətə 
,muqeddimesinde ,müqəddiməsində 
,muhafizekarlar ,mühafizəkarlar 
,muhacirlerinin ,mühacirlərinin 
,maariflendirme ,maarifləndirmə 
,laboratoriyada ,laboratoriyada 
,konstitusiyali ,konstitusiyalı 
,kompozisiyalar ,kompozisiyalar 
,komandalarinin ,komandalarının 
,kolleksiyasina ,kolleksiyasına 
,kitabxanalarda ,kitabxanalarda 
,kibernetikanin ,kibernetikanın 
,kecirilmesidir ,keçirilməsidir 
,ixtiyarindadir ,ixtiyarındadır 
,ixtisaslasmasi ,ixtisaslaşması 
,istiqametlenen ,istiqamətlənən 
,istehsalcilari ,istehsalçıları 
,investisiyanin ,investisiyanın 
,imperiyasindan ,imperiyasından 
,imperatorluqun ,imperatorluğun 
,ideologiyasina ,ideologiyasına 
,idareciliyinin ,idarəçiliyinin 
,ictimaiyyetini ,ictimaiyyətini 
,hundurlukdedir ,hündürlükdədir 
,hesablanmisdir ,hesablanmışdır 
,gorduklerinizi ,gördüklərinizi 
,genislenmisdir ,genişlənmişdir 
,genislendirmis ,genişləndirmiş 
,filosoflarinin ,filosoflarının 
,faydalanmisdir ,faydalanmışdır 
,desteklemisdir ,dəstəkləmişdir 
,dusunduklerini ,düşündüklərini 
,dovletlerinden ,dövlətlərindən 
,dovletlerarasi ,dövlətlərarası 
,divarlarindaki ,divarlarındakı 
,canisinlerinin ,canişinlərinin 
,berabersuretli ,bərabərsürətli 
,belqemgetirici ,bəlğəmgətirici 
,birinciliyinde ,birinciliyində 
,bir-birilerini ,bir-birilərini 
,basdirilmisdir ,basdırılmışdır 
,ardicillarinin ,ardıcıllarının 
,arasdirmalarla ,araşdırmalarla 
,aparilmasindan ,aparılmasından 
,Qirxli-Avsarin ,Qırxlı-Avşarın 
,Qaracay-cerkez ,Qaraçay-Çərkəz 
,Qalatiyalilara ,Qalatiyalılara 
,Petrusevskinin ,Petruşevskinin 
,Nizamnamesinin ,Nizamnaməsinin 
,Memmedxanlinin ,Məmmədxanlının 
,Komandanliqina ,Komandanlığına 
,Federasiyasina ,Federasiyasına 
,Dnepropetrovsk ,Dnepropetrovsk 
,Buqumayaqlilar ,Buğumayaqlılar 
,Allahverdiyeva ,Allahverdiyeva 
,evezedilmezdir ,əvəzedilməzdir 
,emeliyyatindan ,əməliyyatından 
,emekdasliqinin ,əməkdaşlığının 
,elyazmalarinda ,əlyazmalarında 
,efsanelerinden ,əfsanələrindən 
,erebistanindan ,Ərəbistanından 
,erazilerindeki ,Ərazilərindəki 
,efqanistandaki ,Əfqanıstandakı 
,sekilcilerinin ,şəkilçilərinin 
,sixlinskayanin ,Şıxlinskayanın 
,İttifaqlarinin ,İttifaqlarının 
,İkicayarasinda ,İkiçayarasında 
,ustunluklerine ,üstünlüklərinə 
,ozellesdirmeye ,özəlləşdirməyə 
,ciceklenmesine ,çiçəklənməsinə 
,catismamazliqi ,çatışmamazlığı 
,catdirilmasina ,çatdırılmasına 
,ziyaretgahlari ,ziyarətgahları 
,yukseklikdedir ,yüksəklikdədir 
,yurisdiksiyasi ,yurisdiksiyası 
,yoxlanildiqdan ,yoxlanıldıqdan 
,yolverilmezdir ,yolverilməzdir 
,yetisdirildiyi ,yetişdirildiyi 
,yetirilmelidir ,yetirilməlidir 
,yerlesmesinden ,yerləşməsindən 
,yerlerindendir ,yerlərindəndir 
,yaxsilasmasina ,yaxşılaşmasına 
,yarismalarinda ,yarışmalarında 
,yarimkuresinin ,yarımkürəsinin 
,yaraqlilarinin ,yaraqlılarının 
,xestexanalarda ,xəstəxanalarda 
,xarakterindeki ,xarakterindəki 
,xalcaciliqinda ,xalçaçılığında 
,veziyyetlerine ,vəziyyətlərinə 
,vetendaslarini ,vətəndaşlarını 
,vetendaslardan ,vətəndaşlardan 
,vesaitlerinden ,vəsaitlərindən 
,universitetden ,universitetdən 
,universitetdir ,universitetdir 
,ultrabenovseyi ,ultrabənövşəyi 
,teessubkesliyi ,təəssübkeşliyi 
,teskilatcisina ,təşkilatçısına 
,teyyarelerinin ,təyyarələrinin 
,texiresalinmaz ,təxirəsalınmaz 
,tesirlenmisdir ,təsirlənmişdir 
,temizlendikden ,təmizləndikdən 
,tehlukesizliye ,təhlükəsizliyə 
,tedqiqatlarina ,tədqiqatlarına 
,tecrubelerinin ,təcrübələrinin 
,tikililerinden ,tikililərindən 
,tarixcilerinin ,tarixçilərinin 
,tarixi-ictimai ,tarixi-ictimai 
,tarixi-coqrafi ,tarixi-coğrafi 
,tamasalarindan ,tamaşalarından 
,seviyyelerinin ,səviyyələrinin 
,sesvermesinden ,səsverməsindən 
,serkerdelerden ,sərkərdələrdən 
,serinlesdirici ,sərinləşdirici 
,subyektlerinin ,subyektlərinin 
,spektroskopiya ,spektroskopiya 
,sosialistlerin ,sosialistlərin 
,saxtalasdirmaq ,saxtalaşdırmaq 
,sahillerindeki ,sahillərindəki 
,rusvayciliqdan ,rüsvayçılıqdan 
,respublikamiza ,respublikamıza 
,repertuarindan ,repertuarından 
,rekonstruksiya ,rekonstruksiya 
,qehremanliqini ,qəhrəmanlığını 
,qubernatorunun ,qubernatorunun 
,qloballasmanin ,qloballaşmanın 
,qaynaqlarindan ,qaynaqlarından 
,qarisdirildiqi ,qarışdırıldığı 
,qanunauyqunluq ,qanunauyğunluq 
,produserliyini ,prodüserliyini 
,populyarliqini ,populyarlığını 
,pensiyacilarin ,pensiyaçıların 
,neticelenmisdi ,nəticələnmişdi 
,numayiscilerle ,nümayişçilərlə 
,numayiscilerin ,nümayişçilərin 
,novlerindendir ,növlərindəndir 
,nisanelerinden ,nişanələrindən 
,nailiyyetlerin ,nailiyyətlərin 
,meslehetlerini ,məsləhətlərini 
,meskunlasdilar ,məskunlaşdılar 
,merhelelerinin ,mərhələlərinin 
,meneviyyatinin ,mənəviyyatının 
,mehellesindeki ,məhəlləsindəki 
,mehellelerinin ,məhəllələrinin 
,mehdudlasdirir ,məhdudlaşdırır 
,mehdudlasdirdi ,məhdudlaşdırdı 
,muelliflerinde ,müəlliflərində 
,muellifleridir ,müəllifləridir 
,musterilerinin ,müştərilərinin 
,muxtelifliyini ,müxtəlifliyini 
,muvefeqiyyetli ,müvəfəqiyyətli 
,mutefekkirleri ,mütəfəkkirləri 
,muselmanlarina ,müsəlmanlarına 
,muqavilesinden ,müqaviləsindən 
,mukellefiyyeti ,mükəlləfiyyəti 
,mohkemlendirib ,möhkəmləndirib 
,monoqrafiyalar ,monoqrafiyalar 
,minnetdarliqla ,minnətdarlıqla 
,minerallasmaya ,minerallaşmaya 
,minerallasmasi ,minerallaşması 
,milletlerarasi ,millətlərarası 
,milliyyetcilik ,milliyyətçilik 
,mexanizmlerini ,mexanizmlərini 
,maraqlanmisdir ,maraqlanmışdır 
,kocduklerinden ,köçdüklərindən 
,koordinasiyasi ,koordinasiyası 
,kommunistlerin ,kommunistlərin 
,kifayetlenmeli ,kifayətlənməli 
,kifayetlenirik ,kifayətlənirik 
,kecirilecekdir ,keçiriləcəkdir 
,keyfiyyetlerin ,keyfiyyətlərin 
,kateqoriyasina ,kateqoriyasına 
,kateqoriyalari ,kateqoriyaları 
,kampaniyasinda ,kampaniyasında 
,inqilabcilarin ,inqilabçıların 
,imzalanmasinda ,imzalanmasında 
,ildirimsuretli ,ildırımsürətli 
,idareciliyinde ,idarəçiliyində 
,ictimai-sosial ,ictimai-sosial 
,heveslendirmek ,həvəsləndirmək 
,heyvanlarindan ,heyvanlarından 
,heyvandarliqin ,heyvandarlığın 
,getirilmesinin ,gətirilməsinin 
,getirilmesinde ,gətirilməsində 
,guclendirmisdi ,gücləndirmişdi 
,gosterilmesine ,göstərilməsinə 
,gonderildiyini ,göndərildiyini 
,gimnaziyasinin ,gimnaziyasının 
,general-mayoru ,general-mayoru 
,ferqlendirirdi ,fərqləndirirdi 
,fealiyyetlerle ,fəaliyyətlərlə 
,formalasdirmis ,formalaşdırmış 
,fiziki-kimyevi ,fiziki-kimyəvi 
,eynilesdirilir ,eyniləşdirilir 
,etmeyeceksiniz ,etməyəcəksiniz 
,elmi-fantastik ,elmi-fantastik 
,eksperimentler ,eksperimentlər 
,edilmediyinden ,edilmədiyindən 
,dersliklerinin ,dərsliklərinin 
,duzenliklerden ,düzənliklərdən 
,dramaturgiyasi ,dramaturgiyası 
,dondurulmasini ,dondurulmasını 
,devrilmesinden ,devrilməsindən 
,davranmisdilar ,davranmışdılar 
,davamcilaridir ,davamçılarıdır 
,cebrayillilari ,cəbrayıllıları 
,cinayetkarlari ,cinayətkarları 
,cinayetkarlara ,cinayətkarlara 
,berabersizliyi ,bərabərsizliyi 
,belediyyesinde ,bələdiyyəsində 
,bolgelerindeki ,bölgələrindəki 
,birliklerinden ,birliklərindən 
,bioqrafiyasini ,bioqrafiyasını 
,basladilmisdir ,başladılmışdır 
,baximsizliqdan ,baxımsızlıqdan 
,bakteriyalarin ,bakteriyaların 
,aqsaqqallarini ,ağsaqqallarını 
,azerbaycanlini ,azərbaycanlını 
,azarkeslerinin ,azarkeşlərinin 
,ayri-seckiliyi ,ayrı-seçkiliyi 
,axtarislarinin ,axtarışlarının 
,axtaracaqsiniz ,axtaracaqsınız 
,assosiasiyanin ,assosiasiyanın 
,assosiasiyalar ,assosiasiyalar 
,adlandirilmaqa ,adlandırılmağa 
,abituriyentler ,abituriyentlər 
,Yuqoslaviyanin ,Yuqoslaviyanın 
,Superkubokunun ,Superkubokunun 
,Quvvelerindeki ,Qüvvələrindəki 
,Qarabaqnameler ,Qarabağnamələr 
,Psixomatrisine ,Psixomatrisinə 
,Naxcivanskiler ,Naxçıvanskilər 
,Mukafatlarinda ,Mükafatlarında 
,Mikelancelonun ,Mikelancelonun 
,Herseqovinanin ,Herseqovinanın 
,Filarmoniyanin ,Filarmoniyanın 
,Cumhuriyyetine ,Cümhuriyyətinə 
,Allah-taalanin ,Allah-taalanın 
,Administrasiya ,Administrasiya 
,exlaqsizliqdan ,əxlaqsızlıqdan 
,etrafindakilar ,ətrafındakılar 
,etraflarindaki ,ətraflarındakı 
,esil-necabetli ,əsil-nəcabətli 
,esaslandirilir ,əsaslandırılır 
,eleyhimusselam ,əleyhimussəlam 
,edebiyyatcilar ,ədəbiyyatçılar 
,edebiyyatlarin ,ədəbiyyatların 
,sohretlendiren ,şöhrətləndirən 
,sikayetlenirdi ,şikayətlənirdi 
,sirvan-Abseron ,Şirvan-Abşeron 
,sEYXZAMANLILAR ,ŞEYXZAMANLILAR 
,İsgenderiyyeli ,İsgəndəriyyəli 
,İmperiyasindan ,İmperiyasından 
,İdentifikasiya ,İdentifikasiya 
,ustunluklerini ,üstünlüklərini 
,ozellesdirilir ,özəlləşdirilir 
,oldurulenlerin ,öldürülənlərin 
,oldurulmesinde ,öldürülməsində 
,cetinliklerine ,çətinliklərinə 
,cetinliklerini ,çətinliklərini 
,cokuntulerinin ,çöküntülərinin 
,cevrilmesinden ,çevrilməsindən 
,cevrilmekdedir ,çevrilməkdədir 
,cevrilmisdiler ,çevrilmişdilər 
,cempionlarinin ,çempionlarının 
,cekidiskimiler ,Çəkidişkimilər 
,zorakiliqlarin ,zorakılıqların 
,yiqincaqlarina ,yığıncaqlarına 
,yetirilmesinde ,yetirilməsində 
,yerlesdirmekle ,yerləşdirməklə 
,yerlesdirdiler ,yerləşdirdilər 
,yazdiqlarindan ,yazdıqlarından 
,yaxinlasmasini ,yaxınlaşmasını 
,yaxinlasmasina ,yaxınlaşmasına 
,yataqxanalarla ,yataqxanalarla 
,yarimadasindan ,yarımadasından 
,yapisdirilirdi ,yapışdırılırdı 
,yandirib-yaxdi ,yandırıb-yaxdı 
,yandirib-yaxan ,yandırıb-yaxan 
,yalvarislarini ,yalvarışlarını 
,xeberdarliqini ,xəbərdarlığını 
,xususiyyetinde ,xüsusiyyətində 
,xeyirxahliqini ,xeyirxahlığını 
,xeyirxahliqina ,xeyirxahlığına 
,xatirlanmisdir ,xatırlanmışdır 
,xarakteristika ,xarakteristika 
,vezifesindedir ,vəzifəsindədir 
,vurqulanmisdir ,vurğulanmışdır 
,vitaminlerinin ,vitaminlərinin 
,verilmemelidir ,verilməməlidir 
,uzaqlasdiracaq ,uzaqlaşdıracaq 
,uyqunlasdirmis ,uyğunlaşdırmış 
,teskilatlarini ,təşkilatlarını 
,teskilatlanmis ,təşkilatlanmış 
,tesevvurlerini ,təsəvvürlərini 
,tesvirlerinden ,təsvirlərindən 
,teriqetlerinin ,təriqətlərinin 
,teqsirlerimizi ,təqsirlərimizi 
,temsilcilerine ,təmsilçilərinə 
,tekmillesdiren ,təkmilləşdirən 
,tedbirlerinden ,tədbirlərindən 
,tecavuzkarlari ,təcavüzkarları 
,tebietsunasliq ,təbiətşünaslıq 
,trilogiyasinin ,trilogiyasının 
,toxunulmazliqi ,toxunulmazlığı 
,tikdirilmisdir ,tikdirilmişdir 
,texnologiyadir ,texnologiyadır 
,terrorcularina ,terrorçularına 
,terminlerinden ,terminlərindən 
,temperaturunun ,temperaturunun 
,temperaturunda ,temperaturunda 
,tayfasindandir ,tayfasındandır 
,tarixsunasliqi ,tarixşünaslığı 
,seslendiribler ,səsləndiriblər 
,serencamlarini ,sərəncamlarını 
,servetlerinden ,sərvətlərindən 
,sehabelerinden ,səhabələrindən 
,siqinacaqlarda ,sığınacaqlarda 
,suverenliyinin ,suverənliyinin 
,strukturlarini ,strukturlarını 
,statistikasina ,statistikasına 
,standartlarini ,standartlarını 
,stalaktitlerle ,stalaktitlərlə 
,soydaslarindan ,soydaşlarından 
,soydaslarimiza ,soydaşlarımıza 
,siyasetcilerin ,siyasətçilərin 
,sineyumsaldici ,sinəyumşaldıcı 
,simfoniyasinin ,simfoniyasının 
,simfoniyasinda ,simfoniyasında 
,silahlilarinin ,silahlılarının 
,sifariscilerin ,sifarişçilərin 
,seminarlarinin ,seminarlarının 
,saxlanilmasini ,saxlanılmasını 
,sahillerinedek ,sahillərinədək 
,resedxanasinin ,rəsədxanasının 
,rehberliyinden ,rəhbərliyindən 
,ruhcaqiranlara ,ruhçağıranlara 
,repressiyalara ,repressiyalara 
,rejissorluqunu ,rejissorluğunu 
,regionlarindan ,regionlarından 
,reduksiyaedici ,reduksiyaedici 
,reallasdirilan ,reallaşdırılan 
,qesbkarlarinin ,qəsbkarlarının 
,qehremanlarina ,qəhrəmanlarına 
,qebristanliqin ,qəbristanlığın 
,qurultaylarina ,qurultaylarına 
,qulluqculardan ,qulluqçulardan 
,quldurlarindan ,quldurlarından 
,qruplasmasinin ,qruplaşmasının 
,qonaqperverlik ,qonaqpərvərlik 
,qiymetlerinden ,qiymətlərindən 
,qaytarilmasina ,qaytarılmasına 
,qarismamalidir ,qarışmamalıdır 
,qarisdirilmasi ,qarışdırılması 
,qarisdirilaraq ,qarışdırılaraq 
,qarapapaqlarin ,qarapapaqların 
,qaldirilmasini ,qaldırılmasını 
,preparatlardan ,preparatlardan 
,populyarliqina ,populyarlığına 
,platformalarin ,platformaların 
,plantasiyalari ,plantasiyaları 
,planlasdirdiqi ,planlaşdırdığı 
,personajlardan ,personajlardan 
,parfiyalilarin ,parfiyalıların 
,paltarlarindan ,paltarlarından 
,padsahlarindan ,padşahlarından 
,onilliklerinde ,onilliklərində 
,olimpiadasinin ,olimpiadasının 
,olimpiadalarda ,olimpiadalarda 
,obyektivliyini ,obyektivliyini 
,nezerecarpacaq ,nəzərəçarpacaq 
,nezeriyyeciler ,nəzəriyyəçilər 
,nezaretindedir ,nəzarətindədir 
,numayendeliyin ,nümayəndəliyin 
,noqteyi-nezeri ,nöqteyi-nəzəri 
,nizamlanmasina ,nizamlanmasına 
,nizam-intizami ,nizam-intizamı 
,namizedlerinin ,namizədlərinin 
,nailiyyetlerle ,nailiyyətlərlə 
,meqlubiyyetler ,məğlubiyyətlər 
,meslehetcileri ,məsləhətçiləri 
,menalarindadir ,mənalarındadır 
,melumatlarinin ,məlumatlarının 
,mehellelerinde ,məhəllələrində 
,mehkemelerinin ,məhkəmələrinin 
,mehkemelerinde ,məhkəmələrində 
,medeniyyetlere ,mədəniyyətlərə 
,mecburiyetinde ,məcburiyətində 
,musahidelerine ,müşahidələrinə 
,musahidelerini ,müşahidələrini 
,musahidelerden ,müşahidələrdən 
,muveffeqiyetle ,müvəffəqiyətlə 
,muttefiqlerini ,müttəfiqlərini 
,muselmanlardir ,müsəlmanlardır 
,muqeddesliyine ,müqəddəsliyinə 
,muqeddesliyini ,müqəddəsliyini 
,muqavilelerine ,müqavilələrinə 
,mulahizelerini ,mülahizələrini 
,mukafatlarinin ,mükafatlarının 
,mubahiselerden ,mübahisələrdən 
,muasirlerinden ,müasirlərindən 
,mohkemlendiler ,möhkəmləndilər 
,mocuzelerinden ,möcüzələrindən 
,muqamlarimizin ,muğamlarımızın 
,mladorosslarin ,mladorossların 
,meydancasindan ,meydançasından 
,masinqayirmada ,maşınqayırmada 
,maliyye-kredit ,maliyyə-kredit 
,lovhi-mehfuzda ,lövhi-məhfuzda 
,lirik-dramatik ,lirik-dramatik 
,leksikoqrafiya ,leksikoqrafiya 
,layihelendirir ,layihələndirir 
,kesfiyyatcilar ,kəşfiyyatçılar 
,kendli-gencler ,kəndli-gənclər 
,kenaracixmalar ,kənaraçıxmalar 
,kurqanlarindan ,kurqanlarından 
,kreditlesmenin ,kreditləşmənin 
,konservatoriya ,konservatoriya 
,konsertlerinin ,konsertlərinin 
,konsentratorlu ,konsentratorlu 
,kompyuterlerde ,kompyuterlərdə 
,komponentinden ,komponentindən 
,kollektivlesme ,kollektivləşmə 
,kodlasdirilmis ,kodlaşdırılmış 
,kitabxanaciliq ,kitabxanaçılıq 
,kitabxanasidir ,kitabxanasıdır 
,kitabxanalarin ,kitabxanaların 
,kinostudiyanin ,kinostudiyanın 
,kifayetlenmedi ,kifayətlənmədi 
,kafedralarinin ,kafedralarının 
,jurnalistlerin ,jurnalistlərin 
,isiqlandirirdi ,işıqlandırırdı 
,isiqlandirilir ,işıqlandırılır 
,isiqlandirilan ,işıqlandırılan 
,islenilmesinde ,işlənilməsində 
,isledilmesinde ,işlədilməsində 
,istiqametlerin ,istiqamətlərin 
,istiqametlenir ,istiqamətlənir 
,istifadesinden ,istifadəsindən 
,istehsalatinin ,istehsalatının 
,istehlakcilara ,istehlakçılara 
,investisiyalar ,investisiyalar 
,interpretasiya ,interpretasiya 
,Bu neye lazimdir,Bu nəyə lazımdır
,AcAR İsAReLeRİ ,AÇAR İŞARƏLƏRİ 
,Klassik yazilisi,Klassik yazılışı
,DİGeR seRTLeR ,DİGƏR ŞƏRTLƏR 
,Niye gorunmursen,Niyə görünmürsən
,Dedi ne gezirsen,Dedi nə gəzirsən
,Baki Elm evi,Bakı Elm evi
,Mesxeti turkleri,Məsxəti türkləri
,İran mahnilari ,İran mahnıları 
,isdeki vereq,işdəki vərəq
,calisma saat ,çalışma saat 
,Siqorta sirri ,Sığorta sirri 
,Hesen eliyev kucesi,Həsən Əliyev küçəsi
,Qara ev,Qara ev
,umumturk sozudur,Ümumtürk sözüdür
,Tipik olmayanlar,Tipik olmayanlar
,İlin axir ayidir,İlin axır ayıdır
,Duzeltme isimler,Düzəltmə isimlər
,Onun sekilcisi,Onun şəkilçisi
,Bol sekilcisi,Bol şəkilçisi
,danisiq dilinden,danışıq dilindən
,Meseye gedirik,Meşəyə gedirik
,Gedek meseye,Gedək meşəyə
,Surgun qatarlari,Sürgün qatarları
,Abdullayev Kamal,Abdullayev Kamal
,Baki Maarif evi,Bakı Maarif evi
,Xasiyev Zireddin,Xasıyev Zirəddin
,Baki Yazicisi,Bakı Yazıçısı
,Qasimli Meherrem,Qasımlı Məhərrəm
,Mehseti turkleri,Məhsəti türkləri
,Alinma terminler,Alınma terminlər
,Tutunnikov Vadim,Tütünnikov Vadim
,Topcaq duzu,Topçaq düzü
,elave sertler ,Əlavə şərtlər 
,Lakin gereklidir,Lakin gərəklidir
,Bu da heqiqetdir,Bu da həqiqətdir
,Bu meneviyyatdir,Bu mənəviyyatdır
,Bu neyi gosterir,Bu nəyi göstərir
,Neticede ne oldu,Nəticədə nə oldu
,Bayram gunleri ,Bayram günləri 
,Bu turs deyil,Bu turş deyil
,Qardasin harada?,Qardaşın harada?
,Tom indi harada?,Tom indi harada?
,Xos gelmissiniz!,Xoş gəlmişsiniz!
,Qezet haradadir?,Qəzet haradadır?
,Men caxir icdim.,Mən çaxır içdim.
,Qadin otaqdadir.,Qadın otaqdadır.
,Emili telebedir.,Emili tələbədir.
,Katolik deyilem.,Katolik deyiləm.
,Qiz corek yeyir.,Qız çörək yeyir.
,Yalniz yoldasiq?,Yalnız yoldaşıq?
,Oxumani sevirem.,Oxumanı sevirəm.
,olmek istemirem!,Ölmək istəmirəm!
,Sineniz necedir?,Sinəniz necədir?
,Sen yoldasimsan?,Sən yoldaşımsan?
,Oxumam lazimdir.,Oxumam lazımdır.
,Bu sam aq deyil.,Bu şam ağ deyil.
